Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
193,Entry short,2024-05-14 21:25,AS,20113,95,38214700,-25184.5,-0.07,470.25,0.00,-25179.75,-0.07,1085675.4,21.71
194,Exit short,2024-05-15 10:05,n-s-sl,20212.25,31,12511445,-20153.1,-0.16,618.45,0.00,-20151.55,-0.16,1065520.8,21.31
194,Entry short,2024-05-15 09:55,NS,20179.75,31,12511445,-20153.1,-0.16,618.45,0.00,-20151.55,-0.16,1065520.8,21.31
195,Exit short,2024-05-15 10:05,n-s-sl,20212.25,32,12915040,-20803.2,-0.16,638.4,0.00,-20801.6,-0.16,1044719.1,20.89
195,Entry short,2024-05-15 09:55,NS,20179.75,32,12915040,-20803.2,-0.16,638.4,0.00,-20801.6,-0.16,1044719.1,20.89
196,Exit long,2024-05-16 13:20,n-l-sl,20370.75,31,12652805,-22943.1,-0.18,30843.45,0.24,-22941.55,-0.18,1021774.44,20.44
196,Entry long,2024-05-16 10:30,NL,20407.75,31,12652805,-22943.1,-0.18,30843.45,0.24,-22941.55,-0.18,1021774.44,20.44
197,Exit long,2024-05-16 13:20,n-l-sl,20370.75,31,12652805,-22943.1,-0.18,30843.45,0.24,-22941.55,-0.18,998832.9,19.98
197,Entry long,2024-05-16 10:30,NL,20407.75,31,12652805,-22943.1,-0.18,30843.45,0.24,-22941.55,-0.18,998832.9,19.98
198,Exit short,2024-05-17 14:10,n-s-tp1,20277.25,32,13014080,36636.8,0.28,36638.4,0.28,-2721.6,-0.02,1035468.1,20.71
198,Entry short,2024-05-17 12:50,NS,20334.5,32,13014080,36636.8,0.28,36638.4,0.28,-2721.6,-0.02,1035468.1,20.71
199,Exit short,2024-05-17 15:20,n-s-be,20333.5,32,13014080,636.8,0.00,59358.4,0.46,-2721.6,-0.02,1036106.5,20.72
